caption,fluency_issue
a vehicle horn honking followed by a vehicle horn honking,1
a woman speaks followed by a child speaking in the background,0
an emergency vehicle siren is blowing and a motor vehicle engine is running and fades into the distance,0
a sheep bleats and a person laughs,0
birds are chirping and a man is speaking,0
a clock ticks and rocks,0
A whooshing effect followed by a bell dinging then sharp static before a man speaks during plastic clanking alongside traffic ambiance,1
a train horn blows and a train blows its horn,1
a man is speaking and a truck engine is idling,0
Loud wind noises and a car horn and a person talking at the end,0
goats bleat nearby and then a goat bleats nearby,1
a woman is giving a speech and a,1
an adult male speaks metal clattering occurs and metal scraping occurs,1
a aircraft engine is running and,1
wind blowing hard with people speaking and laughing,0
a clock is ticking followed by a,1
a baby is crying loudly,0
Man speaking to a group in foreign language,0
a very loud spray is released,0
a dog is barking and a,1
a frog croaks loudly,0
a woman speaks and then a small object is tapped,0
A telephone ringing,0
a machine gun fires multiple times,0
a fly buzzes around and then a fly buzzes nearby,1
food sizzles in a pan as a man speaks,0
a music plays followed by music playing,1
a baby laughs followed by a woman laughing,0
a large motor vehicle engine is running and metal clacking occurs,0
"A crowd is clapping and cheering, and an adult male speaks",0
a sewing machine is being used slowly,0
a emergency vehicle siren is followed by a man speaking and a,1
people are talking in the distance and then a snake hisses,0
"A persistent, loud churning rumble accompanies a male speaking",0
A steam boat activating its horn,0
a door is closed and opened,0
a baby cries loudly nearby,0
a small dog is whimpering and birds are chirping,0
a horn is triggered several times,0
crinkling with distant birds chirping and people speaking in the distance,0
a gun is followed by gunshots and a man speaking,1
a bell is rung and a bell rings,1
a man yells and a goat screams,0
Wind blowing hard followed by two men talking in distant ending with a frog croaking,0
birds are chirping and people are talking in the distance,0
a person is snoring,0
a sewing machine is running and making a lot of noise,0
a train whistle blows as a train runs on railroad tracks in the distance becoming louder and louder as a,1
a vehicle horn honking followed by music playing in the,1
"Birds are cooing and flapping wings, and a rooster crows one time",0
sheep bleat and a sheep bleats,1
a vehicle engine is idling and a,1
A train horn is triggered and then a train moves getting closer,0
wind blows and a waves crashing in the distance,0
Train horn honking followed by stopping train and more honking,0
an infant crying with some rustling and rustling,1
an adult male is speaking and a horse is trotting,0
a door is closed and closed,1
a person burps loudly several times loudly nearby,1
a baby cries and a,1
a car engine is idling,0
