,caption,add_tail,repeat_event,repeat_word,delete_word,error
0,a woman talk nearby as water pour in the as a woman talk nearby,1,1,0,0,1
1,multiple clanging and clank sound and then,1,0,0,0,1
2,"the wind be blow , insect be singe , and rustling occur on the",1,0,0,0,1
3,the wind be blow and rustling occur,0,0,0,0,0
4,person be whistle,0,0,0,0,0
5,"a motorboat cruise along , and a man talk with",1,0,0,0,1
6,the sizzling of food while a dish be clank,0,0,0,0,0
7,someone have a hiccup while type,0,0,0,0,0
8,aircraft engine hum with man and woman speak as woman speak,0,1,0,0,1
9,hiss follow by clank dish and speech and then and speech,1,1,0,0,1
10,a woman be talk the whole time something be spray a few time in the middle,0,0,1,1,1
11,a man talk nearby as water pour out of a faucet and a,1,0,0,0,1
12,crackle noise precede a fly buzzing,0,0,0,0,0
13,a dog whimper quietly,0,0,0,0,0
14,engine revving loudly,0,0,0,0,0
15,an adult female speak and a cat meow,0,0,0,0,0
16,child child give a speech and crowd clap,0,0,1,0,1
17,a dog bark twice and then,0,0,0,1,1
18,a whoosh sound be loudly as a car rev its engine,0,0,0,1,1
19,child scream in the background as the sound of water flow by,0,0,0,0,0
20,"a motor vehicle engine be run , a decelerate buzzing occur , mechanical whine occur , and the motor vehicle engine accelerate",0,0,0,0,0
21,"a man speak in a foreign language , can hear dove in background on the",1,0,0,1,1
22,man speak then sneeze follow by man speak then sneeze,0,1,0,0,1
23,a man speak slowly and with strength,0,0,0,0,0
24,a gallop of a,1,0,0,1,1
25,"a child scream , an adult male be talk and vehicle be rev",1,0,0,1,1
26,splash water with child child speak,0,0,1,0,1
27,hum of an engine accelerate and rev after hum of an engine accelerate,0,1,0,0,1
28,several explosion burst nearby as people grunt loudly as people grunt loudly loudly,0,1,1,0,1
29,someone snore,0,0,0,1,1
30,a talk and then a cat meow,0,0,0,1,1
31,a woman talk while fry something as a woman talk,0,1,0,0,1
32,crash wave and a gust of wind wind,0,0,1,0,1
33,hum and vibrating of a motor,0,0,0,0,0
34,honk of a horn of a pass train before s train,0,1,1,1,1
35,a speak then cough follow by laughter,0,0,0,1,1
36,a train run follow by a train horn,0,0,0,0,0
37,a domestic animal be snore and breathe loudly,0,0,0,0,0
38,someone whistle,0,0,0,1,1
39,steam hiss as a train run slowly on railroad track as gear crank and rumble,0,0,0,0,0
40,child speak and laugh with a man,0,0,0,0,0
41,a man yell and duck in the background,0,0,0,0,0
42,strong wind against the microphone simultaneously with heavy rain rain .,0,0,1,0,1
43,a child cry and and an adult speak in response as,1,0,0,1,1
44,several siren be wail and a horn be honk twice,0,0,0,0,0
45,a dog grunt and an adult male speak,0,0,0,0,0
46,water be turn on and off,0,0,0,0,0
47,helicopter rotor drum and squeak bird,0,0,0,0,0
48,car engine sound in car before car engine sound in car race,0,1,0,1,1
49,people in a small crowd be be speak and a dog bark,0,0,1,0,1
50,distressed cat growl and hiss violently while woman laugh and talk,0,0,0,0,0
51,wind against a microphone on a speed car,0,0,0,0,0
52,a whistle and another man speak and the whistling stop . and then,1,0,0,0,1
53,"two man man exchange word , then a car engine rev follow by a siren and fade in music",0,0,1,0,1
54,someone fire a gun with other talk in the background,0,0,0,0,0
55,a car be race away very fast and its tire squeal a little,0,0,0,0,0
56,a loud siren whizz past,0,0,0,0,0
57,a woman hiccup and then woman laugh and speak,0,0,1,1,1
58,"cough by woman and child , then woman and and child speak",0,0,1,0,1
59,truck run then a drag noise in the,1,0,0,1,1
60,"a dog be whine whimper , and an adult male be speak",0,0,0,1,1
61,small small frog croak and chirp,0,0,1,0,1
62,"the wind be blow , a horse be trot , and an adult male speak",0,0,0,0,0
63,a car car engine revving,0,0,1,0,1
64,man be speak with,1,0,0,1,1
65,"an aircraft begin its takeoff , buzzing buzzing of small engine",0,0,1,0,1
66,"a crowd be cheer and , thump occur occur , an adult female speak , and an adult male speak",0,0,1,1,1
67,"an adult female speak , tapping , and a dog bark",0,0,0,1,1
68,a person be speak and crumple paper,0,0,0,0,0
69,"two adult female be speak , a dog be pant , a squeak squeak occur , and whistling occur follow by whistling occur",0,1,1,0,1
70,a vehicle rev then explode while a crowd cheer and an announcer exclaim,0,0,0,0,0
71,man speak while bee buzz and a,1,0,0,0,1
72,a man speak follow by crinkle as,1,0,0,0,1
73,a power tool hum and vibrate,0,0,0,0,0
74,"a man speak follow by a swoosh then a loud splash , then a man laugh",0,0,0,0,0
75,several bird tweet,0,0,0,0,0
76,a woman speak with music playing and a toilet flush follow by a woman speak,0,1,0,0,1
77,vibration and humming of a power drill in the,1,0,0,0,1
78,a bell chime before a bell chime,0,1,0,0,1
79,a woman give a speech a,1,0,0,1,1
80,the chirping of multiple bird accompany gurgle water and crunching footstep and the chirping of multiple bird accompany gurgle water,0,1,0,0,1
81,a domestic bird whistle and then,1,0,0,0,1
82,"people speak follow by spray , then a phone ring on the",1,0,0,0,1
83,a round of applause follow by a woman speak and,1,0,0,0,1
84,a door creak open slowly after a door creak open slowly,0,1,0,0,1
85,"traffic sound be present and ongoing , , an adult male be speak , and metal clicking occur",0,0,1,0,1
86,a kid talk follow by a woman talk while several people laugh,0,0,0,0,0
87,people people be talk and pig oinks,0,0,1,0,1
88,a dog whimper repeatedly,0,0,0,0,0
89,a man give a speech with,1,0,0,0,1
90,"water flow , , wind blow , a dog whimper",0,0,1,0,1
91,people cheer and race car race by,0,0,1,1,1
92,"some unidentified low sound , follow by a child laughter and a female chuckle",0,0,0,0,0
93,motorcycle drive away at high speed on the,1,0,0,0,1
94,"the wind be blow , an engine run , and tire squeal",0,0,0,0,0
95,"a female speaking , then a baby babble , then a a female cheering and clapping , follow by another female laughing and speak",0,0,1,0,1
96,a big engine be sit in idle a,1,0,0,0,1
97,"an adult male be speak , a motor be run , rhythmic vibration , and water be gurgle while an adult male be speak , a motor be run , rhythmic vibration",0,1,0,0,1
98,"a rap sound be present and be echo in a room , people in a crowd speak in the background of a",1,0,0,1,1
99,and whooshing of a helicopter hover close,0,0,0,1,1
100,a vehicle drive and accelerate and accelerate,0,1,0,0,1
101,crinkling noise follow by a man talk,0,0,0,0,0
102,a small dog whimper howl as a small dog whimper,0,1,0,1,1
103,someone suddenly out loud,0,0,0,1,1
104,an adult male be speak informatively after an adult male be speak informatively,0,1,0,0,1
105,kid speak and another kid talk in the background before a kid speak,0,1,0,1,1
106,bell chime with a vehicle start up and then,1,0,0,0,1
107,a man be talk follow by by,1,0,1,0,1
108,"a horse walk , some wood creak , and a man talk",0,0,0,0,0
109,"an adult female snicker quietly while faint snoring be ongoing ongoing , and random quiet metal clinking occur",0,0,1,0,1
110,"an adult male speak , a meow occur , then a boom , the male speak again , and mechanical clicking occur and an adult male speak , a meow occur , then a boom , the male speak again",0,1,0,0,1
111,hum of an engine follow by a woman speak and a burp,0,0,0,0,0
112,a person talk the entire clip follow by,1,0,0,0,1
